Brand: toyota
Referer header: https://pressroom.toyota.com/
Found 140 image entries across 23 models.

[1/140] 4runner/sr5/front_three_quarter  ok (1042778 bytes, image/jpeg)
[57/140] camry/xse-awd/side_profile  ok (1516592 bytes, image/jpeg)
[58/140] corolla/le/front_three_quarter  ok (1982975 bytes, image/jpeg)
[59/140] corolla/le/rear_three_quarter  ok (1472580 bytes, image/jpeg)
[60/140] corolla/le/side_profile  ok (1113981 bytes, image/jpeg)
[61/140] corolla/le/interior_dashboard  ok (2151469 bytes, image/jpeg)
[62/140] corolla/xse/front_three_quarter  ok (1452884 bytes, image/jpeg)
[63/140] corolla/xse/rear_three_quarter  ok (1982975 bytes, image/jpeg)
[64/140] corolla/xse/side_profile  ok (1589097 bytes, image/jpeg)
[65/140] corolla/xse/interior_dashboard  ok (1856204 bytes, image/jpeg)
[66/140] corolla/hybrid-le/front_three_quarter  ok (1325474 bytes, image/jpeg)
[67/140] corolla/hybrid-le/rear_three_quarter  ok (1157614 bytes, image/jpeg)
[68/140] corolla/hybrid-le/side_profile  ok (1840749 bytes, image/jpeg)
[69/140] corolla/hybrid-le/interior_dashboard  ok (3281587 bytes, image/jpeg)
[70/140] corolla/hybrid-se-awd/front_three_quarter  ok (1321063 bytes, image/jpeg)
[71/140] corolla-cross/l/front_three_quarter  ok (438327 bytes, image/jpeg)
[72/140] corolla-cross/l/rear_three_quarter  ok (4672531 bytes, image/jpeg)
[73/140] corolla-cross/xle/front_three_quarter  ok (4508635 bytes, image/jpeg)
[74/140] corolla-cross/xle/rear_three_quarter  ok (4493555 bytes, image/jpeg)
[75/140] corolla-cross/xle/interior_dashboard  ok (5745096 bytes, image/jpeg)
[76/140] corolla-cross/hybrid-s/front_three_quarter  ok (3869645 bytes, image/jpeg)
[77/140] corolla-cross/hybrid-s/rear_three_quarter  ok (5228680 bytes, image/jpeg)
[78/140] corolla-cross/hybrid-s/interior_dashboard  ok (5559338 bytes, image/jpeg)
[79/140] corolla-hatchback/se/front_three_quarter  ok (3997557 bytes, image/jpeg)
[80/140] corolla-hatchback/se/rear_three_quarter  ok (5897697 bytes, image/jpeg)
[81/140] corolla-hatchback/se/side_profile  ok (5415864 bytes, image/jpeg)
[82/140] corolla-hatchback/se/interior_dashboard  ok (2444709 bytes, image/jpeg)
[83/140] corolla-hatchback/fx-edition/front_three_quarter  ok (1447735 bytes, image/jpeg)
[84/140] crown/xle/front_three_quarter  ok (8492467 bytes, image/jpeg)
[85/140] crown/xle/rear_three_quarter  ok (11176655 bytes, image/jpeg)
[86/140] crown/xle/side_profile  ok (8703221 bytes, image/jpeg)
[87/140] crown/xle/interior_dashboard  ok (7247174 bytes, image/jpeg)
[88/140] crown/limited/front_three_quarter  ok (7200079 bytes, image/jpeg)
[89/140] crown/nightshade/front_three_quarter  ok (686369 bytes, image/jpeg)
[90/140] crown/nightshade/interior_dashboard  ok (1332073 bytes, image/jpeg)
[91/140] crown/platinum/front_three_quarter  ok (6426712 bytes, image/jpeg)
[92/140] crown/platinum/rear_three_quarter  FAIL (status — HTTP 403 Forbidden)
[93/140] crown/platinum/side_profile  FAIL (status — HTTP 403 Forbidden)
[94/140] crown/platinum/interior_dashboard  ok (7247174 bytes, image/jpeg)
[95/140] crown-signia/xle/front_three_quarter  ok (5708771 bytes, image/jpeg)
[96/140] crown-signia/xle/rear_three_quarter  ok (7012243 bytes, image/jpeg)
[97/140] crown-signia/xle/side_profile  ok (8387678 bytes, image/jpeg)
[98/140] crown-signia/xle/interior_dashboard  ok (4418226 bytes, image/jpeg)
[99/140] crown-signia/limited/front_three_quarter  ok (893435 bytes, image/jpeg)
[100/140] crown-signia/limited/side_profile  ok (7634463 bytes, image/jpeg)
[101/140] gr-corolla/core/front_three_quarter  FAIL (wrong-content-type — content-type text/html;charset=utf-8)
[102/140] gr-supra/3-0/front_three_quarter  FAIL (wrong-content-type — content-type text/html;charset=utf-8)
[103/140] gr86/base/front_three_quarter  FAIL (wrong-content-type — content-type text/html;charset=utf-8)
[104/140] grand-highlander/le/front_three_quarter  FAIL (status — HTTP 403 Forbidden)
[105/140] grand-highlander/hybrid-le/front_three_quarter  ok (923038 bytes, image/jpeg)
[106/140] grand-highlander/hybrid-max-limited/front_three_quarter  ok (1956155 bytes, image/jpeg)
[107/140] highlander/xle/front_three_quarter  ok (7748303 bytes, image/jpeg)
[108/140] highlander/xle/rear_three_quarter  ok (1113215 bytes, image/jpeg)
[109/140] highlander/xse/front_three_quarter  ok (3061904 bytes, image/jpeg)
[110/140] highlander/limited/front_three_quarter  ok (1113215 bytes, image/jpeg)
[111/140] highlander/platinum/front_three_quarter  ok (1404712 bytes, image/jpeg)
[112/140] highlander/hybrid-xle/front_three_quarter  ok (8072383 bytes, image/jpeg)
[113/140] highlander/hybrid-xle/rear_three_quarter  ok (4262055 bytes, image/jpeg)
[114/140] land-cruiser/1958/front_three_quarter  ok (9432144 bytes, image/jpeg)
[115/140] mirai/xle/front_three_quarter  ok (2651970 bytes, image/jpeg)
[116/140] mirai/xle/rear_three_quarter  ok (3432476 bytes, image/jpeg)
[117/140] mirai/xle/side_profile  ok (2900804 bytes, image/jpeg)
[118/140] mirai/xle/interior_dashboard  ok (3387360 bytes, image/jpeg)
[119/140] prius/le/front_three_quarter  ok (5210189 bytes, image/jpeg)
[120/140] prius/le/rear_three_quarter  ok (4771735 bytes, image/jpeg)
[121/140] prius/le/side_profile  ok (4968628 bytes, image/jpeg)
[122/140] prius/le/interior_dashboard  ok (4789026 bytes, image/jpeg)
[123/140] prius/xle/front_three_quarter  ok (5210189 bytes, image/jpeg)
[124/140] prius/nightshade/front_three_quarter  ok (1632545 bytes, image/jpeg)
[125/140] prius/nightshade/rear_three_quarter  ok (1527550 bytes, image/jpeg)
[126/140] prius/nightshade/side_profile  FAIL (status — HTTP 403 Forbidden)
[127/140] prius/nightshade/interior_dashboard  ok (832641 bytes, image/jpeg)
[128/140] prius/limited/front_three_quarter  ok (5806590 bytes, image/jpeg)
[129/140] prius/phev-se/front_three_quarter  ok (1004956 bytes, image/jpeg)
[130/140] prius/phev-se/rear_three_quarter  ok (1794505 bytes, image/jpeg)
[131/140] prius/phev-se/side_profile  ok (1440488 bytes, image/jpeg)
[132/140] prius/phev-se/interior_dashboard  ok (3053295 bytes, image/jpeg)
[133/140] prius/phev-nightshade/front_three_quarter  ok (1936359 bytes, image/jpeg)
[134/140] prius/phev-nightshade/rear_three_quarter  ok (2021935 bytes, image/jpeg)
[135/140] prius/phev-nightshade/side_profile  ok (1440488 bytes, image/jpeg)
[136/140] prius/phev-xse-premium/interior_dashboard  ok (3970633 bytes, image/jpeg)
[137/140] rav4/hybrid-le/front_three_quarter  ok (8282996 bytes, image/jpeg)
[138/140] rav4/hybrid-limited-awd/front_three_quarter  ok (8282996 bytes, image/jpeg)
[139/140] rav4/hybrid-woodland-awd/front_three_quarter  ok (5927610 bytes, image/jpeg)
[140/140] rav4/phev-gr-sport-awd/front_three_quarter  ok (7702836 bytes, image/jpeg)

Updated catalog/data/toyota.json and data/toyota.json with downloaded flags.

========================================
  SUMMARY
========================================
Brand:                  toyota
Total images attempted: 140
Successful:             133 (95.0%)
Failed:                 7

Failed by HTTP status:
  403: 4

Failed by other error kind:
  wrong-content-type: 3

Models with zero successful images: 3 of 23
  - gr-corolla (1 attempted)
  - gr-supra (1 attempted)
  - gr86 (1 attempted)

Failure breakdown (one example per group):
  [status-403] x4 — e.g. https://toyota-cms-media.s3.amazonaws.com/wp-content/uploads/2025/03/2026_Crown_Platinum_BronzeAgeBiTone_004.jpg
  [wrong-content-type (text/html;charset=utf-8)] x3 — e.g. https://www.toyota.com/grcorolla/
