Brand: porsche
Referer header: https://www.porsche.com/
Found 155 image entries across 16 models.

[1/155] 911/carrera/front_three_quarter  cached (1368904 bytes)
[153/155] macan-electric/macan-4s-electric/front_three_quarter  FAIL (wrong-content-type — content-type text/html)
[154/155] macan-electric/macan-gts-electric/front_three_quarter  FAIL (wrong-content-type — content-type text/html)
[155/155] macan-electric/macan-turbo-electric/front_three_quarter  FAIL (wrong-content-type — content-type text/html)

Updated catalog/data/porsche.json and data/porsche.json with downloaded flags.

========================================
  SUMMARY
========================================
Brand:                  porsche
Total images attempted: 155
Successful:             78 (50.3%)
Failed:                 77

Failed by HTTP status:
  (none)

Failed by other error kind:
  wrong-content-type: 77

Models with zero successful images: 3 of 16
  - 911-gt3-rs (4 attempted)
  - 718-cayman-gt4-rs (4 attempted)
  - 718-spyder-rs (4 attempted)

Failure breakdown (one example per group):
  [wrong-content-type (text/html)] x77 — e.g. https://www.porsche.com/usa/models/911/
